group,team,points,goals_for,goals_against,goals_diff,h2h_pts,h2h_gd,h2h_gf,position
A,Mexico,9,5,1,4,0,0,0,1
A,South Korea,6,4,3,1,0,0,0,2
A,Czech Republic,1,3,5,-2,1,0,1,3
A,South Africa,1,2,5,-3,1,0,1,4
B,Canada,5,8,2,6,1,0,1,1
B,Switzerland,5,6,3,3,1,0,1,2
B,Bosnia and Herzegovina,2,3,6,-3,1,0,1,3
B,Qatar,2,2,8,-6,1,0,1,4
C,Brazil,7,6,2,4,1,0,1,1
C,Morocco,7,4,2,2,1,0,1,2
C,Scotland,3,2,3,-1,0,0,0,3
C,Haiti,0,1,6,-5,0,0,0,4
D,United States,9,8,2,6,0,0,0,1
D,Australia,4,3,3,0,1,0,1,2
D,Paraguay,4,3,5,-2,1,0,1,3
D,Turkey,0,1,5,-4,0,0,0,4
E,Germany,7,10,3,7,0,0,0,1
E,Ivory Coast,6,4,3,1,0,0,0,2
E,Ecuador,2,1,2,-1,0,0,0,3
E,Curaçao,1,2,9,-7,0,0,0,4
F,Netherlands,7,9,4,5,1,0,2,1
F,Japan,7,8,3,5,1,0,2,2
F,Sweden,3,7,8,-1,0,0,0,3
F,Tunisia,0,2,11,-9,0,0,0,4
G,Egypt,5,5,3,2,1,0,1,1
G,Belgium,5,3,2,1,1,0,1,2
G,Iran,3,3,3,0,0,0,0,3
G,New Zealand,1,4,7,-3,0,0,0,4
H,Spain,7,6,1,5,0,0,0,1
H,Cape Verde,3,3,3,0,0,0,0,2
H,Uruguay,2,4,5,-1,1,0,1,3
H,Saudi Arabia,2,2,6,-4,1,0,1,4
I,France,9,8,2,6,0,0,0,1
I,Norway,6,8,5,3,0,0,0,2
I,Senegal,3,5,7,-2,0,0,0,3
I,Iraq,0,2,9,-7,0,0,0,4
J,Argentina,9,8,1,7,0,0,0,1
J,Austria,4,4,4,0,1,0,1,2
J,Algeria,4,3,5,-2,1,0,1,3
J,Jordan,0,3,8,-5,0,0,0,4
K,Colombia,7,5,2,3,0,0,0,1
K,Portugal,5,7,2,5,0,0,0,2
K,DR Congo,2,2,3,-1,0,0,0,3
K,Uzbekistan,1,2,9,-7,0,0,0,4
L,England,7,6,3,3,0,0,0,1
L,Croatia,6,5,5,0,0,0,0,2
L,Ghana,4,2,2,0,0,0,0,3
L,Panama,0,1,4,-3,0,0,0,4
